番号,XXXX,,
素質,70,0   ;쾌락반응（-1=쾌락에부정 1=쾌락에솔직）,
素質,71,0   ;중독되기쉬움,
素質,72,0   ;즉시타락（1=즉시타락 2=허접암컷）,
素質,80,0   ;도착적、SM계조교의 효과가 높다,
素質,81,0   ;성별기호（-1=양날의검 1= 남성혐오 2=여성혐오 3=인간불신）,
素質,82,0   ;새드,
素質,83,0   ;마조,
素質,85,0   ;망신,
素質,86,0   ;소악마,
素質,87,0   ;메스가키,
素質,90,0   ;여우,
素質,91,0   ;요호,
素質,92,0   ;매력,
素質,93,0   ;매혹,
素質,94,0   ;수수께끼의 매력,
素質,100,0  ;체형（-3=소인 -2=유아체형 -1=작은체형 1=장신（모델체형 이미지） 2=큰편 3=거인）,
素質,101,0  ;Ｃ감도（-1=둔감 1=민감）,
素質,102,0  ;Ｖ감도,
素質,103,0  ;Ａ감도,
素質,104,0  ;Ｂ감도,
素質,105,0  ;Ｍ감도,
素質,106,0  ;근육질,
素質,107,0  ;복실복실,
素質,108,0  ;갈색피부,
素質,116,0  ;용모（-1=추악 1=용모단정）,
素質,117,0  ;연령（-2=어린이 -1=학생 0=젊은이 1=어른 2=중년）,
素質,120,0  ;몸두께（1=살찔기미 2=포동포동 3=통통❤ 4=뚱뚱 5=운동해라）,
素質,121,0  ;가슴사이즈（-3=허무 -2=절벽 -1=빈유 0=평유 1=거유 2=폭유 3=소젖）,
素質,122,0  ;허벅지사이즈（-1=얇음 0=평범 1=두꺼움 2=중후함 3=두꺼어워）,
素質,128,0  ;엉덩이사이즈（-1=빈약 0=평범 1=안산형 2=큰엉덩이 3=질량병기）,
素質,123,0  ;뿔,
素質,124,0  ;동물귀,
素質,125,0  ;특수체질（-2=에너지체 -1=슬라임체 1=경질체 2=영체）,
素質,126,0  ;스위트바디（몸에 입을 대면 회복함）,
素質,127,0  ;날개（1=천사날개 2=악마날개 3=한몸날개 4=곤충날개）,
素質,130,0  ;회복속도（-1=회복늦음 1=회복빠름）,
素質,131,0  ;듀얼리스트、인간용,
素質,132,0  ;흡혈귀,
素質,133,0  ;일광욕,
素質,134,0  ;월광욕,
素質,135,0  ;치료,
素質,136,0  ;고무,
素質,138,0  ;이상한뿌리、조수화할때 후타나리가 됨,
素質,139,0  ;함몰유두,
素質,140,0  ;외부자、외 콜라보 용（1=카드게임 2=그 외）,
素質,141,0  ;광기,
素質,142,0  ;꼬리,
素質,144,0  ;금단의지식,
素質,145,0  ;인기,
素質,146,0  ;구현、조수화할 때 후타나리가 됨,
素質,149,0  ;모유체질,
素質,150,0  ;유아／유아퇴행,
素質,151,0  ;유치,
素質,152,0  ;절륜,
素質,155,0  ;모성、아이를 낳은 어머니의 사랑,
素質,158,0  ;친자,
素質,165,0  ;싸이코듀얼리스트、초능력자이긴 하지만 이상한사람은 아님,
素質,170,0  ;펫,
素質,190,1  ;속성（1=빛 2=어둠 3=땅 4=물 5=화염 6=바람 7=신）,
素質,191,1  ;종족,
            ;1=마법사족   2=드래곤족    3=언데드족,,,
            ;4=전사족       5=기계족        6=야수족,,,
            ;7=비행야수족       8=비늘야수족        9=악마족,,,
            ;10=천사족      11=곤충족       12=원소정령족,,,
            ;13=식물족      14=사이킥족 15=사이버스족,,,
"            ;16=바다생물족      17=미확인족	    18=",,,
            ;19=            20=환신야수족,,,
素質,195,0  ;소속（1=아카데미아 2=그 외 학교）,
,,,
;ABL,,,
能力,0,0    ;Ｃ감각,
能力,1,0    ;Ｖ감각,
能力,2,0    ;Ａ감각,
能力,3,0    ;Ｂ감각,
能力,4,0    ;Ｍ감각,
能力,9,0    ;친밀,
能力,10,0   ;순종,
能力,11,0   ;욕망,
能力,12,0   ;기교,
能力,13,0   ;봉사정신,
能力,14,0   ;노출증,
能力,15,0   ;마조끼,
能力,16,0   ;새드끼,
能力,17,0   ;레즈끼,
能力,18,0   ;호모끼,
能力,40,0   ;청소기능,
能力,41,0   ;화술기능,
能力,42,0   ;신체능력,
能力,43,0   ;교양,
能力,44,0   ;요리기능,
,,,
;EXP,,,
경험,0,0    ;Ｃ경험,
경험,1,0    ;Ｖ경험,
경험,2,0    ;Ａ경험,
경험,3,0    ;Ｂ경험,
경험,4,0    ;Ｍ경험,
경험,5,0    ;Ｃ절정경험,
경험,6,0    ;Ｖ절정경험,
경험,7,0    ;Ａ절정경험,
경험,8,0    ;Ｂ절정경험,
경험,9,0    ;Ｍ절정경험,
경험,10,0   ;절정경험,
경험,11,0   ;사정경험,
경험,12,0   ;분유경험,
경험,13,0   ;방뇨경험,
경험,14,0   ;정액경험,
경험,15,0   ;정음경험,
경험,20,0   ;Ｖ성교경험,
경험,21,0   ;Ａ성교경험,
경험,22,0   ;자위경험,
경험,23,0   ;조교자위경험,
경험,24,0   ;수음경험,
경험,25,0   ;펠라경험,
경험,26,0   ;파이즈리경험,
경험,27,0   ;키스경험,
경험,28,0   ;도구사용경험,
경험,29,0   ;포르치오경험,
경험,30,0   ;약물경험,
경험,35,0   ;듀얼조교경험,
경험,40,0   ;봉사쾌락경험,
경험,41,0   ;애정경험,
경험,42,0   ;고통쾌락경험,
경험,43,0   ;가학쾌락경험,
경험,50,0   ;조교경험,
경험,51,0   ;레즈경험,
경험,52,0   ;게이경험,
경험,53,0   ;이상경험,
경험,54,0   ;Ｖ확장경험,
경험,55,0   ;Ａ확장경험,
경험,56,0   ;긴박경험,
경험,70,0   ;청소경험,
경험,71,0   ;대화경험,
경험,72,0   ;촬영경험,
경험,73,0   ;피사경험,
경험,74,0   ;운동경험,
경험,75,0   ;학습경험,
경험,76,0   ;요리경험,
경험,77,0   ;데이트경험,
경험,78,0   ;듀얼경험,
,,,
;FLAG,,,
フラグ,7,101;복장,
フラグ,311,100;시작위치,이건 못바꿈
,,,
;복장 간이 리스트,,,
;이것들은 로다라던가 올릴땐 지워주세요,,,
;衣装세트を추가した時はできればでいいので追記しといてください,,,
,,,
;〇범용,,,
;0=전라  1=남장  2=여장  4=메이드  106= (드레스＋왕관)  107=섹시 (무녀복)  112=메이드공통,,,
;114=롱드레스  119=천사스타일  121=가이드씨 (커리어우먼)  127=롱드레스+리본,,,
;128=미니드레스  132=파자마  137= (아카데미아 여성공통)  147=현대복A  148=현대복B,,,
;151= (무녀공통)  157= (제알학생공통)  158= (라이더슈트)  159= (아카데미아 이외의 학생복) ,,,
;160=현대복C  166=미니드레스 (스타킹)  167=세이프티커버 (기계계)  168=전라원피스 (히스이) ,,,
;176=현대복D  178=현대복E  179=현대복F 226=시로무쿠（속옷없음） 243=차이나풍공통  300=（세일러 학생복）,,,
;301=（노팬티 군인） 304=（치녀괴도） 305=（치녀수녀） 306=（치녀） 307=리본안대자켓바지,,,
;308=고딕드레스＋모자  311=중갑♀  316=블라우스＋Ｌ치마＋하이힐  313=파카＋블라우스＋반바지,,,
,,,
;〇마법사계,,,
;101=BMG (마법사세트 미니)  102=사이매직 (마법사세트 롱)  103=령사공통 (마법사세트 모자없음) ,,,
;104=령사공통 (스패츠＋마법사세트 모자없음)  105=엘리먼트 발키리 (갑옷녀 범용？) ,,,
;118=마법사세트+고글  187=용마도사 (스패츠＋부츠＋마법사세트 모자있음) ,,,
,,,
;〇거의 캐릭터 전용 (유희왕 몬스터) ,,,
;・테마몬스터（１장만은 제외）/////////////////////,,,
;108=레이쨩(제복A)  109=로제쨩(제복B) ,,,
;110=하이네  111=베르님  141=제니재현,,,
;169=판테라  170=매드러브,,,
;183=브라우티 등 (드레스＋모자＋부츠)  184=피나 (망토＋터틀넥＋부츠) ,,,
;185=플라메와 릴리우스 (자켓＋한벌옷＋부츠)  186=페르미 등 (바디슈츠＋헬멧) ,,,
;188=루시 (고글＋백의＋블라우스＋치마)  190=레이아 191=플로아,,,
;189=람 (헤드기어＋콤비네종),,,
;200=사도 네이로이  201=역도 네이로이  202=소녀 이게로스  203=몽마 이케로스,,,
;219=프리티・히로인 220=리틀・스타  221=리버티・드라마티스트  222=멜로・마돈나,,,
;229=화이트 래빗  230=도마우스  231=체셔캣  232=화이트바인더・레드랜섬  233=하트크립터,,,
;・근미래계//////////////////////////////////////////////,,,
;117=마스카레  120=핸디,,,
;236=ARG☆S─영관의 아드라（롱코트 세트） 237=ARG☆S,,,
;241=라이징 스케일,,,
;・일본옷계////////////////////////////////////////////////,,,
;143=설녀  224=달희  225=무부,,,
;・스토리계//////////////////////////////////////////,,,
;153=드란시아,,,
;129=이브 (이브리스)  130=리스,,,
;135= (비전투 플뢰르)  136= (페리지트)  150= (키트),,,
;・그 외////////////////////////////////////////////////,,,
;122=히프노 시스터  123=데몬테이머  124=문라이트 백토 (NOPUNK도 가능) ,,,
;140=이어주는 손쨩 의장  142=발키리 의장,,,
;146=용각짱  154=용사님  155= (아르토리아)  156= (빅뱅걸) ,,,
;165= (뵐러)  171=후긴  172=스트레나에  173=큐티아,,,
;174=매직걸  175=에트랑제  177=클러크  181=달크,,,
;204=사이버스・위치  209=푸아소니에르・드・누밸즈  210=라뷰린스 버틀러 아리아스,,,
;211=펜듈럼・위치  212=파티시엘 쿠베르  214=마나  216=주사천사 리리  217=육화정 보탄,,,
;218=육화의 한 조각＆하얀 공주  223=마네킹 캣  228=빅 코어（티타늄）,,,
;234=아＝바오・아・쿠  238=공아단의 예지 위즈  239=성광의 분쇄  240=영왕의 파동,,,
,,,
;〇거의 캐릭터 전용 (듀얼리스트) ,,,
;161= (드로와씨)  162= (엘레나)  163= (아리사)  164= (칼리)  192=쿠자크 마이  193=카와이 시즈카,,,
;194=미스티  195=아유  196=마스미  197=올가  213=레베카,,,
,,,
;〇거의 캐릭터 전용 (외부자) ,,,
;・デュエマ/////////////////////////////////////////////,,,
;144=마음씨깊은 코튼의장  145=후지쵸코판 자디클리카  180=튜링,,,
;199=천재 데도담  205=「전귀」의 정점 베토벤,,,
;206=「사명」의 정점 그레이티스트・그레이트  207=「암사」의 정점 라이오넬、「교지」의 정점 레데이오・로제스,,,
;208=「주원」의 정점 서스펜스 227=해체인형 제니（헤드드레스 붙은 미니드레스） 235=Ｓ급 우주 아담스키,,,
;250=그렌・그랫서  251=그렌・탈렛  254=기천열 샤프,,,
;・Fate/////////////////////////////////////////////////,,,
;215=잭・더・리퍼 (Fate/Apocrypha)  245=미야모토 무사시  246=미나모토노 요리미츠  247=슈텐도지,,,
;248=무라사키 시키부  249=우시와카마루,,,
;・섀도버스/////////////////////////////////////////////,,,
;309=라라미아,,,
;・명일방주/////////////////////////////////////////,,,
;310=퍼퓨머  312=카디  314=위스퍼레인 315=그라벨 ,,,
,,,
;〇테마몬스터계,,,
;113=Evil☆Twin 공통(사이버스 타이츠＋치마)  115=충혹마공통  116=첩자공통  125=LL공통일지도,,,
;126=로리우라라  131=키토칼로스（티아라공통）  133=엑소시스터 공통（소피아 이외） ,,,
;134=미캉코 공통（무녀공통） 138=문라이트라이오댄서（문라이트 호랑이계열 공통？） 139=해피공통,,,
;149=뱀파이어  152=（다이노） 168=전라원피스（히스이） 182=스트라이냐 등（딱붙는 타이츠＋부츠） ,,,
;198=듀얼・마스터즈 TCG신 아트 COLORFUL＊SNOW,,,
,,,
;〇일 복장 세트,,,
;500=바니걸 세트  501=메이드 세트  501=차이나 세트  501=줄무늬 군복 세트,,,
;504=마법소녀 세트  505=무녀복세트  506=편의점알바  510=슈퍼 점장,,,
,,,
;〇보충,,,
;팬티는 생략,,,
;현대복A：리본、캐미솔、스포츠브라、스패츠、양말、신발,,,
;현대복B：모자、튜브 탑、원피스、양말、신발,,,
;현대복C：리본、롱 셔츠、스포츠브라、미니치마、양말、신발,,,
;현대복D：스웨터、롱 바지、양말、신발,,,
;현대복E：원피스、브라자、양말、신발,,,
;현대복F：블라우스、브라자、치마、스타킹、신발,,,
