0,휴식플래그

800,초동업데이트

;小作人あなた用
820,지주
821,밭일의성과
822,연공
823,농민난이도
824,지주대출금
825,연시대출금
826,변제연체횟수
827,수확납입횟수
828,누적수확평가
829,전회수확평가

;紅魔카지노関連플래그830ー839
;호구지수はVIPルーム向けに作ったが仕様固まりきらなくて保留中
830,호구지수

831,카리스마유통
832,카리스마인기
833,카리스마변동상황
834,카리스마변동누적
835,회원랭크
836,￥유통
837,￥인기
838,￥변동상황
839,￥변동누적
840,전회카리스마설정월
841,카지노방문일

850,청소중독
851,원래체격
852,개운대문구입횟수
853,팬티수송
860,술벌레
861,마지막으로술집에방문한날
862,술집에서누적구입액
863,술집의누적판매이익
864,술집의매각률플래그
865,술집구매강화
866,통나무종류
867,마지막으로목재상에방문한날
868,마지막으로제재소에방문한날
869,마지막으로가구점에방문한날
870,제작중가구
871,가구제작나머지

880,패션

;900ー910 모브호감도

998,모리야뽑기데이트상대
;데이트상대の캐릭터番号格納
999,운세뽑기와모리야뽑기관계
;bit表記 0:운세뽑기選択済, 1:운세뽑기今日引いたか, 2:모리야뽑기選択済, 3:모리야뽑기入れ替え可能

;1001～1999,エリアの汚れ플래그


2000,버전업처리
2001,소모품자동구입
2002,쓰레기지시OFF
2003,능력표시일람
2004,능력표시상세
2005,언제든지잘수있다
2006,피임
2007,생리주기가시화
2008,스텟표시용
2009,테스트플레이용자위들킴강제발생
2010,조제경험
2011,빌린책
2012,빌린책반납기간
2013,퀵필터;（bit,0=onoff,1=V,2=A,3=애무,4=아이템,5=봉사,6=SM 7=セクハラ）
2014,멈춤
2015,밀어쓰러뜨리기
2016,순간이동
2017,상주이벤트

;2018,AA표시 廃止して

2019,이동장소표시
2020,개축
2021,창고잠금
2022,수영장
;(bit,0=自走 1=温水 2=샤워 3=不思議な泡)
2023,출금인수
2024,교류내방모드
2025,임신스위치
2026,USERCOM필터
;（bit,0=汚れ표시 1=상대を変える 2=能力표시 3=能力표시（마스터）4=Ｖ필터 5=Ａ필터 6=애무필터 7=道具필터 8=봉사필터 9=？ 20=セクハラ필터 11=コマンド필터 12=이력표시 13=自動時止め이동）
2027,탈의선택,;(1=全裸 2=半脱ぎ)
2028,감지모드
2029,팬티도둑,;(1=毎回くすねる 2=毎回脱がすだけ)
2030,변장
2031,구상색
2032,Look표시용유방
2033,Look표시용유두
2034,능력표기
2035,카운터서술문제어
2036,섹시팬티추가
2037,스킵무브
2038,집안일
2039,ABLUP생략
2040,무능함
2041,화상표시설정,;ON/OFF
2042,화상표시,;ON/OFF 兼표시人数
2043,화상표시위치,;PRINT_TARGET_IMAGEの描画align値 0=center 1=left
2044,애니메이션,;화상애니메이션설정 兼繰り返し횟수 0～5
2045,화상칸표시,;화상に枠をつけるか ON/OFF
2046,사정화상종류,;0～2　0.断面+효과音　1.断面のみ　2.효과音のみ
2047,스탠딩종류,;0で스탠딩 1で顔絵
2048,삽입그림표시,;삽입그림のみ(정상위애니)の표시설정　AAの替え(受精のほう)には効かないやつ
2049,삽입애니필터,;삽입애니を표시しないようにする(bit 0=삽입중 1=절정 2=사정)
2050,팬티수집상황타입B
2051,ＦＫ판정,;bit 1=自覚無しでも기록 2=페니스でも기록
2055,가사언필터

2060,함락노선변화
2061,고백금지
2062,무지자동상실금지
2063,아이묘사
2064,호의이성단축
2065,아이의성별
;2066,자동신음
2067,의뢰넘기기
2068,이어하기설정보존됨
2069,거유차분표시
2070,추가이펙트

;1200～1299,各部屋の人数
;1500～1599は楽譜所持用
